id,name,link,hometown,genre,image,description,similar1,similar2,similar3,event1_venue,event1_date,event1_start,event1_end,event2_venue,event2_date,event2_start,event2_end,shawn
bd001,A Minor Revolution,https://aminorrevolution.bandcamp.com/,"Dover, NH",Punk,bd001.png,"A Minor Revolution combines influences from NOFX, Mad Caddies, Mischief Brew, and Sublime and have been a staple of the DIY punk scene in New Hampshire and Boston for the past 6 years. The band's style is self-described as a ADHD-Fueled mix of punk, rock and roll, and the darker side of ska with a little bit of weird to keep things interesting.",,,,Le Jardin des bières,5/20/2016,18:00,18:30,,,,,
bd002,A Perfect Murder,https://www.facebook.com/apmxhc/,"Drummondville / Granby, PQ",Hardcore,bd002.jpg,"While it can be argued that some cats indeed have nine lives, the same cannot always be said about metal and hardcore bands, with even the luckiest enjoying two but rarely more. Sprouting up nearly six years ago from the extreme music mecca of Canada and even North America at large, Montreal Quebec, A Perfect Murder beat the odds and are now on their third or fourth life at least. But time is still on their side; the band began recording when still in their teens, highlighting an early appetite for crafting heavy music not unlike legendary acts Led Zeppelin, Black Sabbath, Metallica, and Pantera did during their formative years.",Throwdown,Full Blown Chaos,Kings of Sorrow,Foufones,5/20/2016,23:00,23:45,,,,,x
bd003,Apes,https://apesqc.bandcamp.com/,"Quebec City, PQ",Hardcore,bd003.jpg,"No heaven, no hell, just pain, then death",,,,,,,,,,,,
bd004,Ariane Zita,https://www.facebook.com/arianezitamusique/?fref=ts,"Montréal, PQ",Indie Folk,bd004.jpg,"Multi-instrumentiste douée – elle joue de la guitare, du piano et du violon –, cette diplômée en langues fait ses premiers pas sur les planches en 2010, dans le cadre du spectacle d’ouverture du Festival OFF de Québec.",Chloé Lacasse,Philémon Cimon,Chantal Archambault,,,,,,,,,
bd005,ATD,https://www.facebook.com/atdvan/,"Vancouver, BC",,bd005.jpg,,,,,,,,,,,,,
bd006,Ate Bit,https://atebit.bandcamp.com/releases,"Beacon, NY",Punk,bd006.jpg,"All our options were grow up, and prolong suffering.",,,,,,,,,,,,
bd007,Audio Visceral,https://audiovisceralvkh.bandcamp.com/,"Vankleek Hill, ON",Punk,bd007.jpg,,,,,,,,,,,,,
bd008,Avenues,https://avenuesrock.bandcamp.com/,"Milwaukee, WI",Punk,bd008.jpg,"Avenues is a punk rock quartet from Milwaukee, Wisconsin which originally formed in January of 2006 by Vin Smith after parting way from 52Metro. After a few member changes, Avenues current lineup came together in 2009.",,,,,,,,,,,,
bd009,Barrasso,https://www.facebook.com/barrassomusique,"Montréal, PQ",Punk,bd009.jpg,"Formé officiellement en 2011, Barrasso accumule les compositions musicales au fil des années. Avec une attirance pour les groupes comme Hot Snakes, The Bronx et Hot Water Music, Barrasso y trouve rapidement son compte. Cependant, la fierté d’écrire en français s’impose. ",,,,Theatre Ste. Catherine,5/21/2016,0:45,1:15,,,,,
bd010,Barricade,https://barricadernhc819.bandcamp.com/releases,"Rouyn Noranda, PQ",Rock,bd010.jpg,"Après avoir participé à différents projets communs, dont Le Conflit, les gars ont laissé leur son évoluer vers les confins du post hardcore. Ils y ont ajouté leurs claires influences post rock pour obtenir une musique instrumentale plutôt planante mais aussi agressive à la fois.",,,,Piranha Bar,5/20/2016,18:15,18:45,,,,,
